timestamp,city,temperature,description
2026-03-17T14:37:06.801Z,Tokyo,10.64,broken clouds
2026-05-12T11:38:01.222Z,London,15.7,scattered clouds
2026-05-12T11:38:38.792Z,London,15.7,scattered clouds
2026-05-12T14:36:25.680Z,London,15.91,overcast clouds
2026-05-12T17:56:40.120Z,London,14.65,broken clouds
2026-05-12T19:53:35.847Z,London,13.13,few clouds
2026-05-12T21:16:31.651Z,London,11.81,scattered clouds
2026-05-12T22:57:16.435Z,London,9.96,scattered clouds
2026-05-13T02:47:01.963Z,London,9.04,scattered clouds
2026-05-13T06:45:45.354Z,London,10.01,few clouds
2026-05-13T10:23:04.755Z,London,9.01,broken clouds
2026-05-13T14:26:00.430Z,London,11.2,overcast clouds
2026-05-13T17:58:44.006Z,London,9.64,moderate rain
2026-05-13T20:03:00.195Z,London,8.2,broken clouds
2026-05-13T23:03:32.436Z,London,7.29,scattered clouds
2026-05-14T02:48:30.143Z,London,7.19,broken clouds
2026-05-14T06:44:14.874Z,London,7.85,overcast clouds
2026-05-14T10:12:09.165Z,London,10.89,broken clouds
2026-05-14T14:02:17.598Z,London,12.09,broken clouds
2026-05-14T17:47:06.586Z,London,10.87,broken clouds
2026-05-14T19:42:25.448Z,London,9.45,overcast clouds
2026-05-14T21:07:18.300Z,London,8.52,broken clouds
2026-05-14T22:53:53.626Z,London,7.68,scattered clouds
2026-05-15T02:49:20.363Z,London,6.71,overcast clouds
2026-05-15T06:53:10.090Z,London,8.22,scattered clouds
2026-05-15T10:19:44.759Z,London,11.35,few clouds
2026-05-15T13:59:44.896Z,London,13.35,scattered clouds
2026-05-15T16:07:16.134Z,London,14.23,overcast clouds
2026-05-15T19:26:11.017Z,London,12.52,overcast clouds
2026-05-15T20:57:14.694Z,London,10.59,overcast clouds
2026-05-15T22:52:37.846Z,London,8.29,overcast clouds
2026-05-16T02:37:31.003Z,London,6.49,clear sky
2026-05-16T06:19:28.007Z,London,7.48,clear sky
2026-05-16T09:27:46.028Z,London,12.51,broken clouds
2026-05-16T11:00:10.782Z,London,13.47,broken clouds
2026-05-16T13:15:17.562Z,London,14.37,overcast clouds
2026-05-16T14:53:33.071Z,London,14.28,overcast clouds
2026-05-16T16:55:55.309Z,London,13.49,light rain
2026-05-16T18:59:30.176Z,London,12.07,light rain
2026-05-16T20:41:50.714Z,London,11.56,broken clouds
2026-05-16T22:41:22.251Z,London,11.36,few clouds
2026-05-17T02:46:10.923Z,London,10.65,overcast clouds
2026-05-17T06:42:15.741Z,London,10.41,broken clouds
